time,InputVoltage,VoltageDrop,Resistance,OutputVoltage
0,-10,-1.667,1000,-8.333
0.1,10,1.674,1010,8.326
0.101,10,1.681,1010,8.319
0.102,10,1.689,1020,8.311
0.106,10,1.697,1020,8.303
0.112,10,1.706,1030,8.294
0.124,10,1.715,1040,8.285
0.149,10,1.724,1040,8.276
0.199,10,1.734,1050,8.266
0.299,10,1.744,1060,8.256
0.499,10,1.754,1060,8.246
0.899,10,1.765,1070,8.235
1.7,10,1.776,1080,8.224
2.7,10,1.788,1090,8.212
3.7,10,1.8,1100,8.2
4.7,10,1.812,1110,8.188
5.7,10,1.825,1120,8.175
6.7,10,1.839,1130,8.161
7.7,10,1.853,1140,8.147
8.7,10,1.868,1150,8.132
9.7,10,1.883,1160,8.117
10.7,10,1.899,1170,8.101
11.7,10,1.915,1180,8.085
12.7,10,1.932,1200,8.068
13.7,10,1.949,1210,8.051
14.7,10,1.967,1230,8.033
15.7,10,1.986,1240,8.014
16.7,10,2.006,1250,7.994
17.7,10,2.026,1270,7.974
18.7,10,2.047,1290,7.953
19.7,10,2.068,1300,7.932
20.7,10,2.09,1320,7.91
21.7,10,2.113,1340,7.887
22.7,10,2.137,1360,7.863
23.7,10,2.161,1380,7.839
24.7,10,2.187,1400,7.813
25.7,10,2.213,1420,7.787
26.7,10,2.239,1440,7.761
27.7,10,2.267,1470,7.733
28.7,10,2.296,1490,7.704
29.7,10,2.325,1510,7.675
30.7,10,2.355,1540,7.645
31.7,10,2.386,1570,7.614
32.7,10,2.418,1590,7.582
33.7,10,2.45,1620,7.55
34.7,10,2.484,1650,7.516
35.7,10,2.518,1680,7.482
36.7,10,2.553,1710,7.447
37.7,10,2.589,1750,7.411
38.7,10,2.626,1780,7.374
39.7,10,2.664,1820,7.336
40.7,10,2.703,1850,7.297
41.7,10,2.742,1890,7.258
42.7,10,2.783,1930,7.217
43.7,10,2.824,1970,7.176
44.7,10,2.866,2010,7.134
45.7,10,2.908,2050,7.092
46.7,10,2.952,2090,7.048
47.7,10,2.996,2140,7.004
48.7,10,3.041,2190,6.959
49.7,10,3.087,2230,6.913
