time,InputVoltage,VoltageDropOrig,Resistance,OutputVoltage,VoltageDrop
101,-10,-5.552,6240,-4.448,-5552
102,-10,-5.456,6000,-4.544,-5456
103,-10,-5.407,5890,-4.593,-5407
104,-10,-5.357,5770,-4.643,-5357
105,-10,-5.308,5660,-4.692,-5308
106,-10,-5.257,5540,-4.743,-5257
107,-10,-5.207,5430,-4.793,-5207
108,-10,-5.156,5320,-4.844,-5156
109,-10,-5.105,5210,-4.895,-5105
110,-10,-5.053,5110,-4.947,-5053
111,-10,-5.001,5000,-4.999,-5001
112,-10,-4.949,4900,-5.051,-4949
113,-10,-4.896,4800,-5.104,-4896
114,-10,-4.843,4700,-5.157,-4843
115,-10,-4.79,4600,-5.21,-4790
116,-10,-4.737,4500,-5.263,-4737
117,-10,-4.684,4410,-5.316,-4684
118,-10,-4.63,4310,-5.37,-4630
119,-10,-4.576,4220,-5.424,-4576
120,-10,-4.522,4130,-5.478,-4522
121,-10,-4.468,4040,-5.532,-4468
122,-10,-4.414,3950,-5.586,-4414
123,-10,-4.36,3870,-5.64,-4360
124,-10,-4.306,3780,-5.694,-4306
125,-10,-4.252,3700,-5.748,-4252
126,-10,-4.198,3620,-5.802,-4198
127,-10,-4.144,3540,-5.856,-4144
128,-10,-4.091,3460,-5.909,-4091
129,-10,-4.037,3390,-5.963,-4037
130,-10,-3.984,3310,-6.016,-3984
131,-10,-3.93,3240,-6.07,-3930
132,-10,-3.877,3170,-6.123,-3877
133,-10,-3.825,3100,-6.175,-3825
134,-10,-3.772,3030,-6.228,-3772
135,-10,-3.72,2960,-6.28,-3720
136,-10,-3.668,2900,-6.332,-3668
137,-10,-3.617,2830,-6.383,-3617
138,-10,-3.566,2770,-6.434,-3566
139,-10,-3.516,2710,-6.484,-3516
140,-10,-3.466,2650,-6.534,-3466
141,-10,-3.416,2590,-6.584,-3416
142,-10,-3.367,2540,-6.633,-3367
143,-10,-3.319,2480,-6.681,-3319
144,-10,-3.271,2430,-6.729,-3271
145,-10,-3.224,2380,-6.776,-3224
146,-10,-3.177,2330,-6.823,-3177
147,-10,-3.132,2280,-6.868,-3132
148,-10,-3.086,2230,-6.914,-3086
149,-10,-3.042,2190,-6.958,-3042
150,-10,-2.998,2140,-7.002,-2998
151,-10,-2.955,2100,-7.045,-2955
152,-10,-2.913,2060,-7.087,-2913
153,-10,-2.871,2010,-7.129,-2871
154,-10,-2.83,1970,-7.17,-2830
155,-10,-2.79,1940,-7.21,-2790
156,-10,-2.751,1900,-7.249,-2751
157,-10,-2.713,1860,-7.287,-2713
158,-10,-2.675,1830,-7.325,-2675
159,-10,-2.638,1790,-7.362,-2638
160,-10,-2.602,1760,-7.398,-2602
161,-10,-2.567,1730,-7.433,-2567
162,-10,-2.533,1700,-7.467,-2533
163,-10,-2.499,1670,-7.501,-2499
164,-10,-2.466,1640,-7.534,-2466
165,-10,-2.434,1610,-7.566,-2434
166,-10,-2.403,1580,-7.597,-2403
167,-10,-2.373,1560,-7.627,-2373
168,-10,-2.343,1530,-7.657,-2343
169,-10,-2.314,1510,-7.686,-2314
170,-10,-2.286,1480,-7.714,-2286
171,-10,-2.259,1460,-7.741,-2259
172,-10,-2.233,1440,-7.767,-2233
173,-10,-2.207,1420,-7.793,-2207
174,-10,-2.182,1400,-7.818,-2182
175,-10,-2.158,1380,-7.842,-2158
176,-10,-2.135,1360,-7.865,-2135
177,-10,-2.112,1340,-7.888,-2112
178,-10,-2.09,1320,-7.91,-2090
179,-10,-2.068,1300,-7.932,-2068
180,-10,-2.048,1290,-7.952,-2048
181,-10,-2.028,1270,-7.972,-2028
182,-10,-2.008,1260,-7.992,-2008
183,-10,-1.989,1240,-8.011,-1989
184,-10,-1.971,1230,-8.029,-1971
185,-10,-1.954,1210,-8.046,-1954
186,-10,-1.937,1200,-8.063,-1937
187,-10,-1.92,1190,-8.08,-1920
188,-10,-1.904,1180,-8.096,-1904
189,-10,-1.889,1160,-8.111,-1889
190,-10,-1.874,1150,-8.126,-1874
191,-10,-1.86,1140,-8.14,-1860
192,-10,-1.846,1130,-8.154,-1846
193,-10,-1.833,1120,-8.167,-1833
194,-10,-1.82,1110,-8.18,-1820
195,-10,-1.808,1100,-8.192,-1808
196,-10,-1.796,1090,-8.204,-1796
197,-10,-1.784,1090,-8.216,-1784
198,-10,-1.773,1080,-8.227,-1773
199,-10,-1.762,1070,-8.238,-1762
200,-10,-1.742,1060,-8.258,-1742
