SimTime,nrst,hl,uv,ov,oc,zc,gp,gp_ack,gn,gn_ack,get,pass
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
10000,1,1,1,0,0,0,0,0,0,0,0,0
10001,1,1,1,0,0,0,0,0,0,0,1,0
10045,1,1,1,0,0,0,1,0,0,0,1,0
10046.958,1,1,1,0,0,0,1,1,0,0,1,0
12506.543,1,1,1,0,1,0,1,1,0,0,1,0
12511.543,1,1,1,0,1,0,0,1,0,0,1,0
12513.37,1,1,1,0,1,0,0,0,0,0,1,0
12521.37,1,1,1,0,1,0,0,0,1,0,1,0
12523.415,1,1,1,0,0,0,0,0,1,1,1,0
12546.415,1,1,1,0,0,0,0,0,0,1,1,0
12547.896,1,1,1,0,0,0,0,0,0,0,1,0
12565.896,1,1,1,0,0,0,1,0,0,0,1,0
12568.204,1,1,1,0,1,0,1,1,0,0,1,0
12604.204,1,1,1,0,1,0,0,1,0,0,1,0
12606.035,1,1,1,0,1,0,0,0,0,0,1,0
12614.035,1,1,1,0,1,0,0,0,1,0,1,0
12616.078,1,1,1,0,0,0,0,0,1,1,1,0
12639.078,1,1,1,0,0,0,0,0,0,1,1,0
12640.55,1,1,1,0,0,0,0,0,0,0,1,0
12658.55,1,1,1,0,0,0,1,0,0,0,1,0
12660.859,1,1,1,0,1,0,1,1,0,0,1,0
12696.859,1,1,1,0,1,0,0,1,0,0,1,0
12698.694,1,1,1,0,1,0,0,0,0,0,1,0
12706.694,1,1,1,0,1,0,0,0,1,0,1,0
12708.735,1,1,1,0,0,0,0,0,1,1,1,0
12731.735,1,1,1,0,0,0,0,0,0,1,1,0
12733.269,1,1,1,0,0,0,0,0,0,0,1,0
12751.269,1,1,1,0,0,0,1,0,0,0,1,0
12753.58,1,1,1,0,1,0,1,1,0,0,1,0
12789.58,1,1,1,0,1,0,0,1,0,0,1,0
12791.417,1,1,1,0,1,0,0,0,0,0,1,0
12799.417,1,1,1,0,1,0,0,0,1,0,1,0
12801.453,1,1,1,0,0,0,0,0,1,1,1,0
12824.453,1,1,1,0,0,0,0,0,0,1,1,0
12825.975,1,1,1,0,0,0,0,0,0,0,1,0
12843.975,1,1,1,0,0,0,1,0,0,0,1,0
12846.287,1,1,1,0,1,0,1,1,0,0,1,0
12882.287,1,1,1,0,1,0,0,1,0,0,1,0
12884.128,1,1,1,0,1,0,0,0,0,0,1,0
12892.128,1,1,1,0,1,0,0,0,1,0,1,0
12894.16,1,1,1,0,0,0,0,0,1,1,1,0
12917.16,1,1,1,0,0,0,0,0,0,1,1,0
12918.693,1,1,1,0,0,0,0,0,0,0,1,0
12936.693,1,1,1,0,0,0,1,0,0,0,1,0
12939.006,1,1,1,0,1,0,1,1,0,0,1,0
12975.006,1,1,1,0,1,0,0,1,0,0,1,0
12976.849,1,1,1,0,1,0,0,0,0,0,1,0
12984.849,1,1,1,0,1,0,0,0,1,0,1,0
12986.877,1,1,1,0,0,0,0,0,1,1,1,0
13009.877,1,1,1,0,0,0,0,0,0,1,1,0
13011.411,1,1,1,0,0,0,0,0,0,0,1,0
13029.411,1,1,1,0,0,0,1,0,0,0,1,0
13031.727,1,1,1,0,1,0,1,1,0,0,1,0
13067.727,1,1,1,0,1,0,0,1,0,0,1,0
13069.572,1,1,1,0,1,0,0,0,0,0,1,0
13077.572,1,1,1,0,1,0,0,0,1,0,1,0
13079.598,1,1,1,0,0,0,0,0,1,1,1,0
13102.598,1,1,1,0,0,0,0,0,0,1,1,0
13104.078,1,1,1,0,0,0,0,0,0,0,1,0
13122.078,1,1,1,0,0,0,1,0,0,0,1,0
13124.395,1,1,1,0,1,0,1,1,0,0,1,0
13160.395,1,1,1,0,1,0,0,1,0,0,1,0
13162.245,1,1,1,0,1,0,0,0,0,0,1,0
13170.245,1,1,1,0,1,0,0,0,1,0,1,0
13172.268,1,1,1,0,0,0,0,0,1,1,1,0
13195.268,1,1,1,0,0,0,0,0,0,1,1,0
13196.748,1,1,1,0,0,0,0,0,0,0,1,0
13214.748,1,1,1,0,0,0,1,0,0,0,1,0
13217.065,1,1,1,0,1,0,1,1,0,0,1,0
13253.065,1,1,1,0,1,0,0,1,0,0,1,0
13254.918,1,1,1,0,1,0,0,0,0,0,1,0
13262.918,1,1,1,0,1,0,0,0,1,0,1,0
13264.938,1,1,1,0,0,0,0,0,1,1,1,0
13287.938,1,1,1,0,0,0,0,0,0,1,1,0
13289.417,1,1,1,0,0,0,0,0,0,0,1,0
13307.417,1,1,1,0,0,0,1,0,0,0,1,0
13309.731,1,1,1,0,1,0,1,1,0,0,1,0
13345.731,1,1,1,0,1,0,0,1,0,0,1,0
13347.585,1,1,1,0,1,0,0,0,0,0,1,0
13355.585,1,1,1,0,1,0,0,0,1,0,1,0
13357.599,1,1,1,0,0,0,0,0,1,1,1,0
